paddock_id_new,field,treatment,date1,cover,treatment,impact,num_nests,hotspot,impact2
1,,,4/27/23,1464,,,,,
2,,,4/27/23,1464,,,,,
3,,,4/27/23,1906.4,,,,,
4,,,4/27/23,1795.8,,,,,
5,,,4/27/23,1795.8,,,,,
6,,,4/27/23,1906.4,,,,,
7,,,4/27/23,1464,,,,,
8,,,4/27/23,1464,,,,,
9,,,4/27/23,1732.6,,,,,
10,,,4/27/23,1732.6,,,,,
11,,,4/27/23,"2,286",,,,,
12,,,4/27/23,"2,286",,,,,
13,,,4/27/23,2285.6,,,,,
14,,,4/27/23,1716.8,,,,,
15,,,4/27/23,1843.2,,,,,
16,,,4/27/23,2064.4,,,,,
17,,,4/27/23,2064.4,,,,,
19,,,4/27/23,2427.8,,,,,
20,,,4/27/23,2427.8,,,,,
21,,,4/27/23,1764.2,,,,,
9,,,5/4/23,2032.6,,,,,
9,,,5/6/23,2428,,,,,
10,,,5/8/23,2032.6,,,,,
12,,,5/8/23,"2,646",,,,,
4,,,5/9/23,2948.76,,,,,
10,,,5/10/23,1732.6,,,,,
12,,,5/10/23,"2,169",,,,,
2,,,5/15/23,3128.76,,,,,
3,,,5/15/23,3128.76,,,,,
11,,,5/15/23,"2,646",,,,,
1,gp3e,early_graze_hi,5/16/23,2348.8,no-early,n,0,1,early-nesting
2,gp3e,early_mown,5/16/23,2475.2,pre-nesting,x,1,1,pre-nesting
3,gp3e,early_graze_hi,5/16/23,2254,pre-nesting,x,0,0,pre-nesting
4,gp3e,early_graze_lo,5/16/23,1479.8,pre-arrival,x,0,0,pre-arrival
5,gp3w,late_graze_lo,5/16/23,2282.8,no-early,n,0,0,early-nesting
6,gp3w,fallow,5/16/23,3723.4,no-early,n,0,1,early-nesting
7,gp3w,late_graze_hi,5/16/23,3549.6,no-early,n,1,2,no-early
8,gp3w,late_graze_lo,5/16/23,3549.6,no-early,n,0,2,early-nesting
9,gp4,early_graze_hi,5/16/23,2728,pre-arrival,x,2,3,pre-arrival
10,gp4,early_graze_lo,5/16/23,1732.6,pre-arrival,x,0,2,pre-arrival
11,gp4,early_mown,5/16/23,2364.6,pre-nesting,x,1,3,pre-nesting
12,gp4,early_graze_lo,5/16/23,2348.8,pre-arrival,x,0,2,pre-arrival
13,gp4,fallow,5/16/23,3265.2,no-early,n,3,3,no-early
14,gp5,late_graze_hi,5/16/23,2854.4,no-early,n,2,2,no-early
15,gp5,fallow,5/16/23,3328.4,no-early,n,3,2,no-early
16,gp6,late_graze_lo,5/16/23,3549.6,no-early,n,2,3,no-early
17,gp6,fallow,5/16/23,3549.6,no-early,n,1,3,no-early
19,gp6,late_graze_lo,5/16/23,4181.6,no-early,n,0,2,no-early
20,gp6,late_graze_hi,5/16/23,4181.6,no-early,n,0,0,no-early
21,gp7,early_graze_lo,5/16/23,3897.2,no-early,n,0,1,no-early
1,gp3e,early_graze_hi,5/23/23,1890.6,early-nesting,x,,,
2,gp3e,early_mown,5/23/23,3770.8,pre-nesting,x,,,
3,gp3e,early_graze_hi,5/23/23,2522.6,pre-nesting,x,,,
4,gp3e,early_graze_lo,5/23/23,1859,pre-arrival,x,,,
5,gp3w,late_graze_lo,5/23/23,3470.6,no-early,n,,,
6,gp3w,fallow,5/23/23,2996.6,no-early,n,,,
7,gp3w,late_graze_hi,5/23/23,4450.2,no-early,n,,,
8,gp3w,late_graze_lo,5/23/23,1969.6,no-early,n,,,
9,gp4,early_graze_hi,5/23/23,3407.4,pre-arrival,x,,,
10,gp4,early_graze_lo,5/23/23,1859,pre-arrival,x,,,
11,gp4,early_mown,5/23/23,4908.4,pre-nesting,x,,,
12,gp4,early_graze_lo,5/23/23,3549.6,pre-arrival,x,,,
13,gp4,fallow,5/23/23,4071,no-early,n,,,
14,gp5,late_graze_hi,5/23/23,4039.4,no-early,n,,,
16,gp6,late_graze_lo,5/23/23,6061.8,no-early,n,,,
17,gp6,fallow,5/23/23,5287.6,no-early,n,,,
19,gp6,late_graze_lo,5/23/23,3976.2,no-early,n,,,
21,gp7,early_graze_lo,5/23/23,5382.4,no-early,n,,,
1,gp3e,early_graze_hi,5/30/23,2064.4,early-nesting,x,,,
2,gp3e,early_mown,5/30/23,3233.6,pre-nesting,x,,,
3,gp3e,early_graze_hi,5/30/23,2933.4,pre-nesting,x,,,
4,gp3e,early_graze_lo,5/30/23,2222.4,pre-arrival,x,,,
5,gp3w,late_graze_lo,5/30/23,3676,no-early,n,,,
6,gp3w,fallow,5/30/23,5050.6,no-early,n,,,
7,gp3w,late_graze_hi,5/30/23,3360,no-early,n,,,
8,gp3w,late_graze_lo,5/30/23,2743.8,no-early,n,,,
14,gp5,late_graze_hi,5/30/23,4150,pre-arrival,x,,,
15,gp5,fallow,5/30/23,4181.6,pre-arrival,x,,,
16,gp6,late_graze_lo,5/30/23,6251.4,pre-nesting,x,,,
17,gp6,fallow,5/30/23,4876.8,pre-arrival,x,,,
19,gp6,late_graze_lo,5/30/23,3992,no-early,n,,,
20,gp6,late_graze_hi,5/30/23,2901.8,no-early,n,,,
21,gp7,early_graze_lo,5/30/23,5698.4,no-early,n,,,
1,gp3e,early_graze_hi,6/9/23,2333,early-nesting,x,,,
2,gp3e,early_mown,6/9/23,3802.4,pre-nesting,x,,,
3,gp3e,early_graze_hi,6/9/23,3170.4,pre-nesting,x,,,
4,gp3e,early_graze_lo,6/9/23,1985.4,pre-arrival,x,,,
5,gp3w,late_graze_lo,6/9/23,2743.8,early-nesting,x,,,
6,gp3w,fallow,6/9/23,3154.6,early-nesting,x,,,
7,gp3w,late_graze_hi,6/9/23,5982.8,no-early,n,,,
8,gp3w,late_graze_lo,6/9/23,3091.4,early-nesting,x,,,
9,gp4,early_graze_hi,6/9/23,3707.6,pre-arrival,x,,,
10,gp4,early_graze_lo,6/9/23,2854.4,pre-arrival,x,,,
11,gp4,early_mown,6/9/23,3486.4,pre-nesting,x,,,
12,gp4,early_graze_lo,6/9/23,3786.6,pre-arrival,x,,,
13,gp4,fallow,6/9/23,3660.2,no-early,n,,,
14,gp5,late_graze_hi,6/9/23,4134.2,no-early,n,,,
15,gp5,fallow,6/9/23,4639.8,no-early,n,,,
16,gp6,late_graze_lo,6/9/23,6899.2,no-early,n,,,
17,gp6,fallow,6/9/23,4797.8,no-early,n,,,
19,gp6,late_graze_lo,6/9/23,3660.2,no-early,n,,,
20,gp6,late_graze_hi,6/9/23,2933.4,no-early,n,,,
21,gp7,early_graze_lo,6/9/23,5840.6,no-early,n,,,
1,gp3e,early_graze_hi,6/27/23,3202,,,,,
2,gp3e,early_mown,6/27/23,3707.6,,,,,
3,gp3e,early_graze_hi,6/27/23,3770.8,,,,,
4,gp3e,early_graze_lo,6/27/23,2854.4,,,,,
5,gp3w,late_graze_lo,6/27/23,3407.4,,,,,
6,gp3w,fallow,6/27/23,4007.8,,,,,
7,gp3w,late_graze_hi,6/27/23,5635.2,,,,,
8,gp3w,late_graze_lo,6/27/23,3723.4,,,,,
9,gp4,early_graze_hi,6/27/23,4323.8,,,,,
10,gp4,early_graze_lo,6/27/23,2901.8,,,,,
11,gp4,early_mown,6/27/23,4718.8,,,,,
12,gp4,early_graze_lo,6/27/23,3960.4,,,,,
13,gp4,fallow,6/27/23,4244.8,,,,,
14,gp5,late_graze_hi,6/27/23,5050.6,,,,,
15,gp5,fallow,6/27/23,5429.8,,,,,
16,gp6,late_graze_lo,6/27/23,2901.8,,,,,
17,gp6,fallow,6/27/23,5793.2,,,,,
19,gp6,late_graze_lo,6/27/23,2949.2,,,,,
20,gp6,late_graze_hi,6/27/23,2980.8,,,,,
21,gp7,early_graze_lo,6/27/23,3107.2,,,,,