nestid,plot,species,pasture,expected_fledge,start?,full_fallow,grazedate,failed
p2n1,2,,gp3,620,529,,516,
p7n1,7,,gp3,619,528,1,,
p9n1,9,,gp4,619,528,,506,
p9n2,9,,gp4,621,530,,506,
p11n1,11,,gp4,623,602,,516,
p13n1,13,,gp4,612,521,1,,
p13n2,13,,gp4,619,528,1,,
p13n3,13,,gp4,616,525,1,,
p14n1,14,,gp5,612,521,1,,
p14n2,14,,gp5,621,530,1,,
p15n1,15,,gp5,619,528,1,,
p15n2,15,,gp5,623,602,1,,
p15n3,15,,gp5,615,524,1,,
p16n1,16,,gp6,625,604,1,,
p16n2,16,,gp6,619,528,1,,
p17n1,17,,gp6,619,528,1,,
gp5n1,na,,gp5,616,525,1,,
lsn1,na,,sunset_l,,,,511,
pln1,na,,plains,,,,,1