plot,pasture,julian,dm,date,notes,est?
1,gp3_n,86,1464,27-Apr,,
1,gp3_n,136,2348.8,16-May,pre,
1,gp3_n,139,1800.6,19-May,post,y
1,gp3_n,143,1890.6,23-May,,
1,gp3_n,150,2064.4,30-May,,
1,gp3_n,160,2333,9-Jun,,
1,gp3_n,178,3202,27-Jun,,
2,gp3_n,86,1464,27-Apr,,
2,gp3_n,135,3128.76,15-May,pre,y
2,gp3_n,136,2475.2,16-May,post,
2,gp3_n,143,3770.8,23-May,,
2,gp3_n,150,3233.6,30-May,,
2,gp3_n,160,3802.4,9-Jun,,
2,gp3_n,178,3707.6,27-Jun,,
3,gp3_c,86,1906.4,27-Apr,,
3,gp3_c,135,3128.76,15-May,pre,y
3,gp3_c,136,2254,16-May,post,
3,gp3_c,143,2522.6,23-May,,
3,gp3_c,150,2933.4,30-May,,
3,gp3_c,160,3170.4,9-Jun,,
3,gp3_c,178,3770.8,27-Jun,,
4,gp3_s,86,1795.8,27-Apr,,
4,gp3_s,129,2948.76,9-May,pre,y
4,gp3_s,136,1479.8,16-May,post,
4,gp3_s,143,1859,23-May,,
4,gp3_s,150,2222.4,30-May,,
4,gp3_s,160,1985.4,9-Jun,,
4,gp3_s,178,2854.4,27-Jun,,
5,gp3_s,86,1795.8,27-Apr,,
5,gp3_s,136,2282.8,16-May,,
5,gp3_s,143,3470.6,23-May,,
5,gp3_s,150,3676,30-May,pre,
5,gp3_s,156,2623.8,5-Jun,post,y
5,gp3_s,160,2743.8,9-Jun,,
5,gp3_s,178,3407.4,27-Jun,,
6,gp3_c,86,1906.4,27-Apr,,
6,gp3_c,136,3723.4,16-May,,
6,gp3_c,143,2996.6,23-May,,
6,gp3_c,150,5050.6,30-May,pre,
6,gp3_c,151,2884.6,31-May,post,y
6,gp3_c,160,3154.6,9-Jun,,
6,gp3_c,178,4007.8,27-Jun,,
7,gp3_n,86,1464,27-Apr,,
7,gp3_n,136,3549.6,16-May,,
7,gp3_n,143,4450.2,23-May,,
7,gp3_n,150,3360,30-May,,
7,gp3_n,160,5982.8,9-Jun,,
7,gp3_n,178,5635.2,27-Jun,,
8,gp3_n,86,1464,27-Apr,,
8,gp3_n,136,3549.6,16-May,,
8,gp3_n,139,3639.6,19-May,pre,y
8,gp3_n,143,1969.6,23-May,post,
8,gp3_n,150,2743.8,30-May,,
8,gp3_n,160,3091.4,9-Jun,,
8,gp3_n,178,3723.4,27-Jun,,
9,gp4_n,86,1732.6,27-Apr,,
9,gp4_n,124,2032.6,4-May,pre,y
9,gp4_n,126,2428,6-May,post,y
9,gp4_n,136,2728,16-May,,
9,gp4_n,143,3407.4,23-May,,
9,gp4_n,160,3707.6,9-Jun,,
9,gp4_n,178,4323.8,27-Jun,,
10,gp4_n,86,1732.6,27-Apr,,
10,gp4_n,128,2032.6,8-May,pre,y
10,gp4_n,130,1732.6,10-May,post,y
10,gp4_n,136,1732.6,16-May,,
10,gp4_n,143,1859,23-May,,
10,gp4_n,160,2854.4,9-Jun,,
10,gp4_n,178,2901.8,27-Jun,,
11,gp4_s,86,"2,286",27-Apr,,
11,gp4_s,85,"2,646",15-May,pre,y
11,gp4_s,136,2364.6,16-May,post,
11,gp4_s,143,4908.4,23-May,,
11,gp4_s,160,3486.4,9-Jun,,
11,gp4_s,178,4718.8,27-Jun,,
12,gp4_s,86,"2,286",27-Apr,,
12,gp4_s,128,"2,646",8-May,pre,y
12,gp4_s,130,"2,169",10-May,post,y
12,gp4_s,136,2348.8,16-May,,
12,gp4_s,143,3549.6,23-May,,
12,gp4_s,160,3786.6,9-Jun,,
12,gp4_s,178,3960.4,27-Jun,,
13,gp4_s,86,2285.6,27-Apr,,
13,gp4_s,136,3265.2,16-May,,
13,gp4_s,143,4071,23-May,,
13,gp4_s,150,4071,30-May,,
13,gp4_s,160,3660.2,9-Jun,,
13,gp4_s,178,4244.8,27-Jun,,
14,gp5_s,86,1716.8,27-Apr,,
14,gp5_s,139,2854.4,19-May,,
14,gp5_s,143,4039.4,23-May,,
14,gp5_s,150,4150,30-May,,
14,gp5_s,160,4134.2,9-Jun,,
14,gp5_s,178,5050.6,27-Jun,,
15,gp5_n,86,1843.2,27-Apr,,
15,gp5_n,139,3328.4,19-May,,
15,gp5_n,150,4181.6,30-May,,
15,gp5_n,160,4639.8,9-Jun,,
15,gp5_n,178,5429.8,27-Jun,,
16,gp6_c,86,2064.4,27-Apr,,
16,gp6_c,139,3549.6,19-May,,
16,gp6_c,143,6061.8,23-May,,
16,gp6_c,150,6251.4,30-May,,
16,gp6_c,160,6899.2,9-Jun,,
16,gp6_c,177,6899.2,26-Jun,pre,y
16,gp6_c,178,2901.8,27-Jun,post,
17,gp6_c,86,2064.4,27-Apr,,
17,gp6_c,139,3549.6,19-May,,
17,gp6_c,143,5287.6,23-May,,
17,gp6_c,150,4876.8,30-May,,
17,gp6_c,160,4797.8,9-Jun,,
17,gp6_c,178,5793.2,27-Jun,,
19,gp6_s,86,2427.8,27-Apr,,
19,gp6_s,139,4181.6,19-May,,
19,gp6_s,143,3976.2,23-May,,
19,gp6_s,150,3992,30-May,,
19,gp6_s,160,3660.2,9-Jun,,
19,gp6_s,174,4110.2,24-Jun,pre,y
19,gp6_s,178,2949.2,27-Jun,post,
20,gp6_s,86,2427.8,27-Apr,,
20,gp6_s,139,4181.6,19-May,,
20,gp6_s,150,2901.8,30-May,,
20,gp6_s,160,2933.4,9-Jun,,
20,gp6_s,178,2980.8,27-Jun,,
21,gp7_c,86,1764.2,27-Apr,,
21,gp7_c,139,3312.6,19-May,,
21,gp7_c,143,5382.4,23-May,,
21,gp7_c,150,5698.4,30-May,,
21,gp7_c,159,5698.4,8-Jun,pre,y
21,gp7_c,160,2032.8,9-Jun,post,
21,gp7_c,178,3107.2,27-Jun,,