plot,pasture,order,start,end,herd,foundnests,category,animals,weight_lbs,daily_dmi_lbs,grazing_days,dm_apr27,gr_apr27,dm_may16,dm_may19,dm_midmay,gr_midmay,dm_may23,gr_may23,ne_may23,dm_may30,gr_may30,ne_may30,dm_jun8,ne_jun9,dm_jun9,gr_jun9,dm_jun10,dm_jun27,gr_jun27,dm_best,dm_date,dm_lag,residual_best,residual_lag
7,gp3_n,1,4/1/23,4/1/23,fallow,1,fallow,0,0,0,0,1464,0,3549.6,,3549.6,0,4450.2,0,0,3360,0,1,,0,5982.8,0,,5635.2,0,,,,,
13,gp4_s,1,4/1/23,4/1/23,fallow,3,fallow,0,0,0,0,2285.6,0,3265.2,,3265.2,0,4071,0,1,4071,0,3,,3,3660.2,0,,4244.8,0,,,,,
15,gp5_n,1,4/1/23,4/1/23,fallow,3,fallow,0,0,0,0,1843.2,0,,3328.4,3328.4,0,,,0,4181.6,0,2,,3,4639.8,0,,5429.8,0,,,,,
17,gp6_c,1,4/1/23,4/1/23,falllow,1,fallow,0,0,0,0,2064.4,0,,3549.6,3549.6,0,5287.6,0,0,4876.8,0,1,,1,4797.8,0,,5793.2,0,,,,,
20,gp6_s,1,4/1/23,4/1/23,fallow,0,fallow,0,0,0,0,2427.8,0,,4181.6,4181.6,0,,,,2901.8,0,0,,0,2933.4,0,,2980.8,0,,,,,
9,gp4_n,2,5/5/23,5/6/23,finishers,2,before,31,"28,315",708,1,1732.6,0,2728,,2728,1,3407.4,1,0,,,1,,2,3707.6,1,,4323.8,1,,,,,
10,gp4_n,3,5/6/23,5/8/23,finishers,0,before,31,"28,408",710,2,1732.6,0,1732.6,,1732.6,1,1859,1,0,,,,,0,2854.4,1,,2901.8,1,,,,,
12,gp4_s,4,5/8/23,5/10/23,finishers,0,before,31,"28,501",713,2,"2,286",0,2348.8,,2348.8,1,3549.6,1,0,,,,,0,3786.6,1,,3960.4,1,,,,,
4,gp3_s,5,5/10/23,5/13/23,finishers,0,before,31,"28,641",716,3,1795.8,0.00,1479.8,,1479.8,1,1859,1,0,2222.4,1,0,,0,1985.4,1,,2854.4,1,,,,,
3,gp3_c,6,5/13/23,5/15/23,finishers,0,before,31,"28,734",718,2,1906.4,0,2254,,2254,1,2522.6,1,0,2933.4,1,0,,0,3170.4,1,,3770.8,1,,,,,
2,gp3_n,7,5/16/23,5/16/23,mown,1,before,,,,,1464,0,2475.2,,2475.2,1,3770.8,1,0,3233.6,1,1,,1,3802.4,1,,3707.6,1,,,,,
11,gp4_s,7,5/16/23,5/16/23,mown,1,before,,,,,"2,286",0,2364.6,,2364.6,1,4908.4,1,0,,,,,1,3486.4,1,,4718.8,1,,,,,
1,gp3_n,8,5/15/23,5/18/23,finishers,0,after,31,"28,873",722,3,1464,0,2348.8,,2348.8,1,1890.6,1,0,2064.4,1,0,,0,2333,1,,3202,1,,,,,
8,gp3_n,9,5/22/23,5/26/23,finishers,0,after,31,"29,245",731,4,1464,0,3549.6,,3549.6,0,1969.6,1,0,2743.8,1,0,,0,3091.4,1,,3723.4,1,,,,,
6,gp3_c,10,5/26/23,5/31/23,finishers,0,after,31,"29,478",737,5,1906.4,0,3723.4,,3723.4,0,2996.6,0,0,5050.6,0,0,,0,3154.6,1,,4007.8,1,,,,,
5,gp3_s,11,5/31/23,6/4/23,finishers,0,after,31,"29,664",742,4,1795.8,0.00,2282.8,,2282.8,0,3470.6,0,0,3676,0,0,,0,2743.8,1,,3407.4,1,,,,,
21,gp7_c,12,6/4/23,6/24/23,cow_calf,0,after,38,"30,839",773,20,1764.2,0,,3312.6,3312.6,0,5382.4,0,0,5698.4,0,0,5840.6,0,2032.8,1,,3107.2,1,,,,,
19,gp6_s,13,6/24/23,6/27/23,cow_calf,0,fallow,38,"31,010",778,3,2427.8,0,,4181.6,4181.6,0,3976.2,0,0,3992,0,0,,0,3660.2,0,,2949.2,1,,,,,
16,gp6_c,14,6/27/23,6/29/23,cow_calf,2,fallow,38,"31,124",781,2,2064.4,0,,3549.6,3549.6,0,6061.8,0,0,6251.4,0,1,,2,6899.2,0,,2901.8,1,,,,,
14,gp5_s,15,7/6/23,7/12/23,cow_calf,2,fallow,38,"31,865",800,6,1716.8,0,,2854.4,2854.4,0,4039.4,0,1,4150,0,2,,2,4134.2,0,,5050.6,0,,,,,
,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,